Title,Proposal Url,Mission,Total,Rubric Results
zkPassport tooling - PinSave,https://app.charmverse.io/op-grants/zkpassport-tooling-pinsave-06063179559413334,ZK Toolkit for ZK Application Developers,69,"Criteria: Builder Commitment - Average: 1.5 || Total: 6
 

 

 Criteria: Builder Draw - Average: 1.0 || Total: 4
 

 

 Criteria: Demo included (binary yes/no) - Average: 0.8 || Total: 3
 

 

 Criteria: Development of OP Stack - Average: 1.5 || Total: 6
 

 

 Criteria: Discretionary Factors - Average: -0.5 || Total: -2
 

 *I would prefer for the proposal to focus solely on the actual mission request it seems there's a lot of overhead right now.
 

 *would have liked to see a bit more opinionated design at the start of this
 

 

 Criteria: Grant size - Average: 1.0 || Total: 4
 

 *The ask is too big in terms of the overlap of the request and the scope of this proposal.
 

 *not good asking the entire amount of the mission request
 

 

 Criteria: Likelihood of success - Average: 1.8 || Total: 7
 

 

 Criteria: Milestone Orientation - Average: 1.3 || Total: 5
 

 

 Criteria: Milestones accountability - Average: 0.8 || Total: 3
 

 

 Criteria: Milestone Trackability - Average: 1.0 || Total: 4
 

 

 Criteria: Novelty - Average: 1.8 || Total: 7
 

 

 Criteria: Opensource - Average: 1.0 || Total: 4
 

 

 Criteria: Optimism Relationship - Average: 0.8 || Total: 3
 

 

 Criteria: Superchain composability potential - Average: 1.8 || Total: 7
 

 

 Criteria: Team assessment - Average: 2.0 || Total: 8
 

 *team has already built apps that others are applying to build"
zk Toolkit by Reclaim Protocol,https://app.charmverse.io/op-grants/page-4286494964460683,ZK Toolkit for ZK Application Developers,84,"Criteria: Builder Commitment - Average: 1.5 || Total: 6
 

 *got rpgf but commitment is questionable -- they're on secret network before here
 

 

 Criteria: Builder Draw - Average: 1.5 || Total: 6
 

 

 Criteria: Demo included (binary yes/no) - Average: 1.3 || Total: 5
 

 

 Criteria: Development of OP Stack - Average: 1.8 || Total: 7
 

 

 Criteria: Discretionary Factors - Average: -0.3 || Total: -1
 

 *The toolkit seems to be an addon on top of an actual reclaim protocol integration so it kind of misses the point of the mission request. Would make more sense if this mission proposal was scoped down to focus on the toolkit itself.
 

 

 Criteria: Grant size - Average: 1.8 || Total: 7
 

 *too much asked considering it's just an integration.
 

 

 Criteria: Likelihood of success - Average: 1.8 || Total: 7
 

 

 Criteria: Milestone Orientation - Average: 1.0 || Total: 4
 

 

 Criteria: Milestones accountability - Average: 1.5 || Total: 6
 

 

 Criteria: Milestone Trackability - Average: 1.0 || Total: 4
 

 

 Criteria: Novelty - Average: 2.3 || Total: 9
 

 

 Criteria: Opensource - Average: 0.8 || Total: 3
 

 

 Criteria: Optimism Relationship - Average: 1.0 || Total: 4
 

 

 Criteria: Superchain composability potential - Average: 2.0 || Total: 8
 

 

 Criteria: Team assessment - Average: 2.3 || Total: 9"
x23.ai - AI governance summariser + chatbot,https://app.charmverse.io/op-grants/x23-ai-ai-governance-summariser-chatbot-11953603162581583,AI Assistant for governance,97,"Criteria: Builder Commitment - Average: 2.3 || Total: 9
 

 

 Criteria: Builder Draw (Mark 0 if not applicable) - Average: 1.5 || Total: 6
 

 

 Criteria: Demo included (binary yes/no) - Average: 1.0 || Total: 4
 

 

 Criteria: Discretionary Factors - Average: 0.5 || Total: 2
 

 *These guys are in line with expected deliverables and have experience
 

 *The ask size is reasonable and the product is already complete.
 

 *gov firehose is great does what it claims to do
 

 

 Criteria: Educational Effectiveness - Average: 0.8 || Total: 3
 

 

 Criteria: Grant size - Average: 2.3 || Total: 9
 

 

 Criteria: Likelihood of success - Average: 2.0 || Total: 8
 

 *already good at what it does
 

 

 Criteria: Measureable Impact - Average: 1.5 || Total: 6
 

 

 Criteria: Milestone Orientation - Average: 1.5 || Total: 6
 

 

 Criteria: Milestones accountability - Average: 1.3 || Total: 5
 

 

 Criteria: Milestone Trackability - Average: 1.5 || Total: 6
 

 

 Criteria: Novelty - Average: 1.5 || Total: 6
 

 

 Criteria: Opensource (optional) - Average: 0.8 || Total: 3
 

 

 Criteria: Optimism Relationship - Average: 1.5 || Total: 6
 

 

 Criteria: Relevance to Governance - Average: 1.3 || Total: 5
 

 

 Criteria: Smart Contract Analytics (Mark 0 if not applicable) - Average: 0.8 || Total: 3
 

 

 Criteria: Team assessment - Average: 2.0 || Total: 8
 

 

 Criteria: Timely Submission - Average: 2.0 || Total: 2"
Wormhole Foundation - wstETH Bridge,https://app.charmverse.io/op-grants/wormhole-foundation-wsteth-bridge-21777030002965025,Liquid staked ETH Optimism's home,177,"Criteria: Code Audit (mark 0 if not applicable) - Average: 4.0 || Total: 20
 

 *Audited by 
 Trail of BitsNeodymeKudelskiOtterSecCertik
 HackenZellicCoinspect and Halborn
 

 

 Criteria: Discretionary - Average: 0.8 || Total: 4
 

 *Yield-generating collateral should be a core incentive focus.
 

 *This is a very string proposal with a low ask that has the potential to bring in alot of value
 

 

 Criteria: Distribution implementation plan - Average: 2.8 || Total: 14
 

 *Users will receive streamed rewards over a 12 week period only potential issue is if this capital is sticky or mercenary.
 

 

 Criteria: Experimentation and Novelty - Average: 2.0 || Total: 10
 

 

 Criteria: Grant size - Average: 2.4 || Total: 12
 

 *Ask is capped at 50k good value
 

 *50000 is very reasonable
 

 

 Criteria: Intuitivity and ease of use - Average: 2.8 || Total: 14
 

 *Wormhole bridge is known to be pretty solid UI/UX - Though for most users this will probably be extracted away b/c of using bridge aggregators/etc.
 

 *Enterprise grade ux
 

 

 Criteria: Likelihood of success - Average: 2.8 || Total: 14
 

 

 Criteria: Milestone Assessment - Average: 3.0 || Total: 15
 

 *Milestones are straight forward and metrics based.
 

 *All metrics based
 

 

 Criteria: Milestone Trackability - Average: 2.0 || Total: 10
 

 

 Criteria: Optimism Relationship - Average: 1.4 || Total: 7
 

 *Deployed on OP but also on many other chains.
 

 *Wormhole has allowed cross-chain token bridging to OP for sometime now
 

 

 Criteria: Reach - Average: 3.2 || Total: 16
 

 *Reaches a large number of users on multiple chains
 

 

 Criteria: Tangible Use Case for Web3 Technology - Average: 3.0 || Total: 15
 

 *LST's are a critical area of DeFi and onboarding large amounts of it will help to enable it to be composable in DeFi.
 

 

 Criteria: Team assessment - Average: 3.0 || Total: 15
 

 *Team is highly capable
 

 

 Criteria: User Retention - Average: 2.2 || Total: 11
 

 *Users with wormhole bridged wsteth need to return to unwind their underlying.
 

 *While we are incentivizing users to bridge their liquidity this is self-selecting for users chasing the highest yield which is the capital most likely to leave once the program is finished."
Web3bridge Optimism proposal,https://app.charmverse.io/op-grants/web3bridge-optimism-proposal-10907524131807289,Builder Grants 2,71,"Criteria: Builder Commitment - Average: 1.8 || Total: 7
 

 

 Criteria: Builder Draw - Average: 2.0 || Total: 8
 

 

 Criteria: Demo included (binary yes/no) - Average: 0.3 || Total: 1
 

 

 Criteria: Development of OP Stack - Average: 2.0 || Total: 8
 

 

 Criteria: Discretionary Factors - Average: -0.3 || Total: -1
 

 *I like such initiatives but looking at github this needs a bit more oversight to make sure that it is executed well and delivers value. Might be willing to score higher if convinced that this is valuable.
 

 

 Criteria: Grant size - Average: 1.3 || Total: 5
 

 *30 OP per smart contract deployed is very high
 

 

 Criteria: Likelihood of success - Average: 1.8 || Total: 7
 

 *bootcamp model is fine not a lot of scale after a few years
 

 

 Criteria: Milestone Orientation - Average: 1.5 || Total: 6
 

 

 Criteria: Milestone Trackability - Average: 1.3 || Total: 5
 

 

 Criteria: Novelty - Average: 1.3 || Total: 5
 

 *many projects of this nature
 

 

 Criteria: Opensource - Average: 1.5 || Total: 6
 

 

 Criteria: Optimism Relationship - Average: 1.0 || Total: 4
 

 

 Criteria: Team assessment - Average: 2.0 || Total: 8
 

 

 Criteria: Timely Submission - Average: 1.0 || Total: 2"
vfat.io - A Multichain Portfolio Management and Yield Generation Application,https://app.charmverse.io/op-grants/vfat-io-a-multichain-portfolio-management-and-yield-generation-application-394830873390293,Growth Experiment grant,130,"Criteria: Code Audit - Average: 2.0 || Total: 10
 

 *Audited by sickle
 

 

 Criteria: Demo included (binary yes/no) - Average: 1.0 || Total: 5
 

 

 Criteria: Discretionary Factors - Average: 0.3 || Total: 1
 

 *Boosted yields helps native projects rope in tvl at the moment there is massive tvl leakage due to higher rewards elsewhere base
 

 *We support more front ends that increase/decentralize access to protocols and information and think most of the weaknesses of the product/grant plan are minor and easily improved upon
 

 *While this is an interesting protocol funding yield aggregators/managers may just cannibalize capital that is already on Optimism which reduces the prospective ROI of the grant.
 

 

 Criteria: Distribution implementation plan - Average: 1.8 || Total: 9
 

 *Encourages users to provide liquidity on various protocols using OP incentives
 

 *Distribution plan lacks key information such as how much OP a user can get for a specific action and any limitations
 

 

 Criteria: Experimentation and Novelty - Average: 1.8 || Total: 9
 

 

 Criteria: Grant size - Average: 2.0 || Total: 10
 

 *50000
 

 *Very large grant size given current stage of protocol.
 

 

 Criteria: intuitivity and ease of use - Average: 1.4 || Total: 7
 

 *curve style UX easy to navigate
 

 *Simple UI/UX with a large amount of information and an easy to use tool.
 

 *UX could use some improvement
 

 *UI isn't super simple to navigate and use love the idea though and confident that can be improved
 

 

 Criteria: Likelihood of success - Average: 1.8 || Total: 9
 

 *While yield farming on Optimism is sluggish at the moment its possible it ramps up soon with the addition of multiple concentrated velo pools
 

 *Long-term builders within the space
 

 

 Criteria: Milestone Assessment - Average: 2.0 || Total: 10
 

 *Metrics based milestones
 

 *Based on increase in TVL
 

 *Milestones should be more aggressive
 

 

 Criteria: Milestone Trackability - Average: 1.8 || Total: 9
 

 

 Criteria: Optimism Relationship - Average: 1.4 || Total: 7
 

 

 Criteria: Reach - Average: 2.0 || Total: 10
 

 *Vfat.tools is used by a large number of users on various networks.
 

 *Reaches mercenary users who are seeking to grow their capital
 

 *Currently low amount of DAUs. Coordinating marketing with Optimism would require buy-in from the OP Foundation (out of scope for labs).
 

 

 Criteria: Tangible Use Case for Web3 Technology - Average: 2.2 || Total: 11
 

 *Offers tooling for yield farmers and simplifies the process by a long shot
 

 *Yield-Generating applications have a clear usecase
 

 

 Criteria: Team assessment - Average: 2.2 || Total: 11
 

 *Team is very capable project has been around since the inception of defi
 

 

 Criteria: Timely Submission - Average: 2.0 || Total: 2
 

 

 Criteria: User Retention - Average: 2.0 || Total: 10
 

 *Users are likely to return"
Velodrome Finance Layer Wide New Project support,https://app.charmverse.io/op-grants/velodrome-finance-layer-wide-new-project-support-04774224094604662,Layerwide new project support,77,"Criteria: Builder draw - Average: 1.0 || Total: 4
 

 

 Criteria: Builders long-term support - Average: 3.0 || Total: 12
 

 

 Criteria: Discretionary Factors - Average: 0.3 || Total: 1
 

 *it's velodrome
 

 

 Criteria: Ease of bootstrap - Average: 1.8 || Total: 7
 

 

 Criteria: Grant size - Average: 2.0 || Total: 8
 

 

 Criteria: Likelihood of success - Average: 2.0 || Total: 8
 

 

 Criteria: Milestone Orientation - Average: 1.3 || Total: 5
 

 

 Criteria: Milestones accountability - Average: 1.0 || Total: 4
 

 

 Criteria: Milestone Trackability - Average: 0.8 || Total: 3
 

 

 Criteria: Novelty - Average: 1.5 || Total: 6
 

 

 Criteria: Optimism Relationship - Average: 2.0 || Total: 8
 

 

 Criteria: Team assessment - Average: 2.8 || Total: 11"
Velodrome Finance - Revenue Sources for RPGF,https://app.charmverse.io/op-grants/velodrome-finance-revenue-sources-for-rpgf-6072245109137893,Revenue Sources for RetroPGF,99,"Criteria: Builder Commitment - Average: 3.0 || Total: 12
 

 

 Criteria: Builder Draw - Average: 2.5 || Total: 10
 

 

 Criteria: Demo included (binary yes/no) - Average: 0.8 || Total: 3
 

 

 Criteria: Development of OP Stack - Average: 2.5 || Total: 10
 

 

 Criteria: Discretionary Factors - Average: 0.0 || Total: 0
 

 

 Criteria: Grant size - Average: 2.3 || Total: 9
 

 

 Criteria: Likelihood of success - Average: 2.3 || Total: 9
 

 

 Criteria: Milestone Orientation - Average: 1.5 || Total: 6
 

 

 Criteria: Milestones accountability - Average: 0.8 || Total: 3
 

 

 Criteria: Milestone Trackability - Average: 0.8 || Total: 3
 

 

 Criteria: Novelty - Average: 2.0 || Total: 8
 

 

 Criteria: Opensource - Average: 0.5 || Total: 2
 

 

 Criteria: Optimism Relationship - Average: 1.8 || Total: 7
 

 

 Criteria: Superchain composability potential - Average: 1.3 || Total: 5
 

 

 Criteria: Team assessment - Average: 3.3 || Total: 13
 

 

 Criteria: Timely Submission - Average: -1.0 || Total: -1"
Velodrome Finance - OP Stack Research,https://app.charmverse.io/op-grants/velodrome-finance-op-stack-research-4099571647719702,OP Stack Research and Implementation,85,"Criteria: Builder Commitment - Average: 2.8 || Total: 11
 

 

 Criteria: Demo included (binary yes/no) - Average: 0.0 || Total: 0
 

 

 Criteria: Discretionary Factors - Average: 0.3 || Total: 1
 

 *research in cross chain liquidity across the OP superchains is needed
 

 

 Criteria: Grant size - Average: 1.8 || Total: 7
 

 *ask is large taking into consideration the scope defined
 

 

 Criteria: Infrastructure Draw - Average: 2.3 || Total: 9
 

 

 Criteria: Likelihood of success - Average: 2.5 || Total: 10
 

 

 Criteria: Milestone Orientation - Average: 2.0 || Total: 8
 

 

 Criteria: Milestones accountability - Average: 1.3 || Total: 5
 

 

 Criteria: Milestone Trackability - Average: 1.3 || Total: 5
 

 

 Criteria: Novelty - Average: 3.0 || Total: 12
 

 *Cross chain liquidity across the superchains is needed
 

 

 Criteria: Optimism Relationship - Average: 2.0 || Total: 8
 

 

 Criteria: Team assessment - Average: 2.8 || Total: 11
 

 *Team shows significant ability to deliver on plan
 

 

 Criteria: Timely Submission - Average: -2.0 || Total: -2"
Velodrome Finance - Governance Participation,https://app.charmverse.io/op-grants/velodrome-finance-governance-participation-23531902138656102,Incentivize and increase governance participation,106,"Criteria: Code Audit (if applicable mark 0 if not) - Average: 2.2 || Total: 11
 

 *Velo Core is audited by Spearbit (bounty by Immunefi) though this program is seperate and shouldn't be covered by that.
 

 *audit ongoing
 

 *Bounty program by immeunify ca audit by spearbit
 

 

 Criteria: Delegate Reach - Average: 2.0 || Total: 10
 

 *Builders may utilize this to be more involved in governance which is an area that we haven't incentivized properly.
 

 Though I will say OP has started to do this without the Velo program.
 

 *Small TAM
 

 *Builders with locked funds could become governance participants and also gain incentive to contribute.
 

 

 Criteria: Discretionary - Average: -0.2 || Total: -1
 

 *This is a novel well thought proposal that has the potential to significantly increase governance participation
 

 *Seems like necessary now that OP is doing this natively.
 

 *Recommend applicant resubmit at a later date because: 1) This platform is still undergoing audits 2) the recipient of a large part of the funding has not yet been identified nor guidelines on their selection provided 3) curriculum not yet established 4) as written the govNFT Champion would have discretion over who receives further funding.
 

 In other words despite Velodrome being the grantee this grant plan would empower Velodrome to unilaterally select someone to receive 10-15k of the grant. That person would then select who receives the remainder. The Grants Council would effectively be funding a grants program run by Velodrome at their discretion making it impossible for the Grants Council to ensure compliance as required under our mandate
 

 

 Criteria: Distribution implementation plan - Average: 1.8 || Total: 9
 

 *This grant would be better proposed by the govNFT champion rather than Velodrome who would then have discretion over who to select
 

 *Distribution would reach many
 

 

 Criteria: Experimentation and Novelty - Average: 3.2 || Total: 16
 

 *Novel program to incentivize gov participation among builders.
 

 *Users of the gov nft would be able to participate in governance with vesting op. could serve useful for many users dealing with locks etc.
 

 

 Criteria: Grant size - Average: 2.0 || Total: 10
 

 *75000
 

 *Grant size is pretty large atm.
 

 *Grant size is a bit large
 

 

 Criteria: Likelihood of success - Average: 2.6 || Total: 13
 

 *Velodrome is a critical part of Optimism and is expected to add value through onboarding builders into governance.
 

 *Proposing team has completed two previous grants
 

 

 Criteria: Milestone Assessment - Average: 1.8 || Total: 9
 

 *Identification of recipients and curriculum should already be done at the time of submission
 

 

 Criteria: Milestone Trackability - Average: 1.0 || Total: 5
 

 

 Criteria: Optimism Relationship - Average: 2.0 || Total: 10
 

 *Velo/Aero are largely aligned with Optimism/Superchain.
 

 

 Criteria: Users - Average: 2.8 || Total: 14
 

 *Velodrome has a very large user base"
