proposal_url,title,total,mission,criteria_name,criteria_average,criteria_total,criteria_scored
https://app.charmverse.io/op-grants/zkpassport-tooling-pinsave-06063179559413334,zkPassport tooling - PinSave,69,ZK Toolkit for ZK Application Developers,Builder Commitment,1.5,6,14
https://app.charmverse.io/op-grants/zkpassport-tooling-pinsave-06063179559413334,zkPassport tooling - PinSave,69,ZK Toolkit for ZK Application Developers,Builder Draw,1.0,4,14
https://app.charmverse.io/op-grants/zkpassport-tooling-pinsave-06063179559413334,zkPassport tooling - PinSave,69,ZK Toolkit for ZK Application Developers,Demo included (binary yes/no),0.8,3,14
https://app.charmverse.io/op-grants/zkpassport-tooling-pinsave-06063179559413334,zkPassport tooling - PinSave,69,ZK Toolkit for ZK Application Developers,Development of OP Stack,1.5,6,14
https://app.charmverse.io/op-grants/zkpassport-tooling-pinsave-06063179559413334,zkPassport tooling - PinSave,69,ZK Toolkit for ZK Application Developers,Grant size,1.0,4,14
https://app.charmverse.io/op-grants/zkpassport-tooling-pinsave-06063179559413334,zkPassport tooling - PinSave,69,ZK Toolkit for ZK Application Developers,Likelihood of success,1.8,7,14
https://app.charmverse.io/op-grants/zkpassport-tooling-pinsave-06063179559413334,zkPassport tooling - PinSave,69,ZK Toolkit for ZK Application Developers,Milestone Orientation,1.3,5,14
https://app.charmverse.io/op-grants/zkpassport-tooling-pinsave-06063179559413334,zkPassport tooling - PinSave,69,ZK Toolkit for ZK Application Developers,Milestones accountability,0.8,3,14
https://app.charmverse.io/op-grants/zkpassport-tooling-pinsave-06063179559413334,zkPassport tooling - PinSave,69,ZK Toolkit for ZK Application Developers,Milestone Trackability,1.0,4,14
https://app.charmverse.io/op-grants/zkpassport-tooling-pinsave-06063179559413334,zkPassport tooling - PinSave,69,ZK Toolkit for ZK Application Developers,Novelty,1.8,7,14
https://app.charmverse.io/op-grants/zkpassport-tooling-pinsave-06063179559413334,zkPassport tooling - PinSave,69,ZK Toolkit for ZK Application Developers,Opensource,1.0,4,14
https://app.charmverse.io/op-grants/zkpassport-tooling-pinsave-06063179559413334,zkPassport tooling - PinSave,69,ZK Toolkit for ZK Application Developers,Optimism Relationship,0.8,3,14
https://app.charmverse.io/op-grants/zkpassport-tooling-pinsave-06063179559413334,zkPassport tooling - PinSave,69,ZK Toolkit for ZK Application Developers,Superchain composability potential,1.8,7,14
https://app.charmverse.io/op-grants/zkpassport-tooling-pinsave-06063179559413334,zkPassport tooling - PinSave,69,ZK Toolkit for ZK Application Developers,Team assessment,2.0,8,14
https://app.charmverse.io/op-grants/page-4286494964460683,zk Toolkit by Reclaim Protocol,84,ZK Toolkit for ZK Application Developers,Builder Commitment,1.5,6,14
https://app.charmverse.io/op-grants/page-4286494964460683,zk Toolkit by Reclaim Protocol,84,ZK Toolkit for ZK Application Developers,Builder Draw,1.5,6,14
https://app.charmverse.io/op-grants/page-4286494964460683,zk Toolkit by Reclaim Protocol,84,ZK Toolkit for ZK Application Developers,Demo included (binary yes/no),1.3,5,14
https://app.charmverse.io/op-grants/page-4286494964460683,zk Toolkit by Reclaim Protocol,84,ZK Toolkit for ZK Application Developers,Development of OP Stack,1.8,7,14
https://app.charmverse.io/op-grants/page-4286494964460683,zk Toolkit by Reclaim Protocol,84,ZK Toolkit for ZK Application Developers,Grant size,1.8,7,14
https://app.charmverse.io/op-grants/page-4286494964460683,zk Toolkit by Reclaim Protocol,84,ZK Toolkit for ZK Application Developers,Likelihood of success,1.8,7,14
https://app.charmverse.io/op-grants/page-4286494964460683,zk Toolkit by Reclaim Protocol,84,ZK Toolkit for ZK Application Developers,Milestone Orientation,1.0,4,14
https://app.charmverse.io/op-grants/page-4286494964460683,zk Toolkit by Reclaim Protocol,84,ZK Toolkit for ZK Application Developers,Milestones accountability,1.5,6,14
